id;identifier;species_id;height;weight;base_experience;order;is_default
{id: 1;name: 'bulbasaur'; species_id: 1;height: 7;weight: 69;base_experience: 64;order: 1;is_default: 1},
{id: 2;name: 'ivysaur'; species_id: 2;height: 10;weight: 130;base_experience: 142;order: 2;is_default: 1},
{id: 3;name: 'venusaur'; species_id: 3;height: 20;weight: 1000;base_experience: 263;order: 3;is_default: 1},
{id: 4;name: 'charmander'; species_id: 4;height: 6;weight: 85;base_experience: 62;order: 5;is_default: 1},
{id: 5;name: 'charmeleon'; species_id: 5;height: 11;weight: 190;base_experience: 142;order: 6;is_default: 1},
{id: 6;name: 'charizard'; species_id: 6;height: 17;weight: 905;base_experience: 267;order: 7;is_default: 1},
{id: 7;name: 'squirtle'; species_id: 7;height: 5;weight: 90;base_experience: 63;order: 10;is_default: 1},
{id: 8;name: 'wartortle'; species_id: 8;height: 10;weight: 225;base_experience: 142;order: 11;is_default: 1},
{id: 9;name: 'blastoise'; species_id: 9;height: 16;weight: 855;base_experience: 265;order: 12;is_default: 1},
{id: 10;name: 'caterpie'; species_id: 10;height: 3;weight: 29;base_experience: 39;order: 14;is_default: 1},
{id: 11;name: 'metapod'; species_id: 11;height: 7;weight: 99;base_experience: 72;order: 15;is_default: 1},
{id: 12;name: 'butterfree'; species_id: 12;height: 11;weight: 320;base_experience: 198;order: 16;is_default: 1},
{id: 13;name: 'weedle'; species_id: 13;height: 3;weight: 32;base_experience: 39;order: 17;is_default: 1},
{id: 14;name: 'kakuna'; species_id: 14;height: 6;weight: 100;base_experience: 72;order: 18;is_default: 1},
{id: 15;name: 'beedrill'; species_id: 15;height: 10;weight: 295;base_experience: 178;order: 19;is_default: 1},
{id: 16;name: 'pidgey'; species_id: 16;height: 3;weight: 18;base_experience: 50;order: 21;is_default: 1},
{id: 17;name: 'pidgeotto'; species_id: 17;height: 11;weight: 300;base_experience: 122;order: 22;is_default: 1},
{id: 18;name: 'pidgeot'; species_id: 18;height: 15;weight: 395;base_experience: 216;order: 23;is_default: 1},
{id: 19;name: 'rattata'; species_id: 19;height: 3;weight: 35;base_experience: 51;order: 25;is_default: 1},
{id: 20;name: 'raticate'; species_id: 20;height: 7;weight: 185;base_experience: 145;order: 27;is_default: 1},
